   2.00  447.16  443.71  442.96  440.70  440.36  437.02  435.61  434.74  433.92  433.62  433.57  431.99  431.32  430.72  430.42  430.21  430.10  429.52  429.19  428.36  427.22  427.07
   1.00  466.71  462.39  461.64  458.74  458.14  453.90  452.17  451.08  449.98  449.74  449.56  447.70  446.84  446.05  445.56  445.47  445.25  444.53  444.06  443.14  441.64  441.41
   3.00  471.54  466.11  465.11  461.68  460.77  455.62  453.60  452.42  451.07  450.62  450.39  447.93  447.00  445.93  445.42  445.11  445.06  444.04  443.51  442.36  440.35  440.06
   3.00  476.59  471.87  470.80  467.65  467.14  462.38  460.46  459.20  458.11  457.66  457.56  455.37  454.37  453.52  453.13  452.78  452.67  451.79  451.25  450.18  448.47  448.24
   1.00  485.91  480.38  479.85  476.36  475.23  470.14  468.46  467.66  466.01  466.19  465.73  463.65  462.85  462.08  460.94  461.34  461.04  460.23  459.70  458.76  457.01  456.70
   3.00  492.04  487.89  487.06  484.29  483.81  479.78  478.24  477.09  476.21  476.08  475.96  474.25  473.50  473.01  472.50  472.35  472.25  471.61  471.30  470.44  469.27  469.00
   3.00  496.74  492.28  491.33  488.51  487.87  483.69  482.09  481.07  480.01  479.73  479.54  477.73  476.95  476.17  475.75  475.61  475.46  474.75  474.27  473.43  471.94  471.79
   3.00  511.74  506.34  505.32  501.85  501.07  495.95  493.94  492.67  491.36  491.00  490.73  488.53  487.60  486.54  486.06  485.83  485.62  484.71  484.23  483.14  481.37  481.09
   3.00  518.75  514.91  514.29  511.94  511.38  507.92  506.64  505.86  504.90  504.77  504.57  503.01  502.49  501.84  501.50  501.29  501.18  500.58  500.39  499.63  498.56  498.32
   3.00  522.10  516.79  515.74  512.29  511.58  506.44  504.39  503.20  501.91  501.47  501.22  498.94  497.89  496.89  496.35  496.11  495.99  495.04  494.48  493.34  491.33  491.03
   2.00  528.14  521.44  519.81  515.62  514.95  508.40  505.75  504.12  502.60  502.22  501.99  498.75  497.71  496.63  495.93  495.63  495.50  494.33  493.94  492.50  490.29  489.97
